time,newphase 
240,1 
250,1 
260,1 
270,1 
280,1 
290,1 
300,1 
310,1 
320,1 
330,1 
340,1 
350,1 
360,1 
370,1 
380,1 
390,1 
400,1 
410,1 
420,1 
430,1 
440,1 
450,1 
460,1 
470,2 
480,2 
490,2 
500,2 
510,2 
520,2 
530,2 
540,2 
550,2 
560,2 
570,2 
580,2 
590,2 
600,2 
610,2 
620,2 
630,2 
640,2 
650,2 
660,2 
670,2 
680,2 
690,2 
700,2 
710,2 
720,3 
730,3 
740,3 
750,3 
760,3 
770,3 
780,3 
790,3 
800,3 
810,3 
820,3 
830,3 
840,3 
850,3 
860,3 
870,3 
880,3 
890,3 
900,3 
910,3 
920,3 
930,3 
940,3 
950,3 
960,3 
970,3 
980,4 
990,4 
1000,4 
1010,4 
1020,4 
1030,4 
1040,4 
1050,4 
1060,4 
1070,4 
1080,4 
1090,4 
1100,4 
1110,4 
1120,4 
1130,4 
1140,4 
1150,4 
1160,4 
1170,4 
1180,4 
1190,4 
1200,4 
1210,4 
1220,4 
1230,4 
1240,4 
1250,4 
1260,4 
1270,4 
1280,4 
1290,4 
1300,4 
1310,4 
1320,4 
1330,4 
1340,4 
1350,4 
